"x","y","z"
18.8211819945787,78.2431249387333,-30.5382867453231
13.4508135356947,75.5201014177055,-28.4475878865107
17.8658710586673,76.3716053596859,-27.969321911263
11.4453512756182,69.5801174211756,-27.605874939686
11.8503576214133,69.1935244632304,-25.51519777768
13.9008856877765,67.5905781767867,-28.880270005103
13.6842186829819,67.3375024702735,-28.2558950142433
13.3202171686582,67.982123925843,-23.4980570643323
16.893085037687,65.836519817052,-26.9108833122769
13.9704405428216,65.7241267692246,-22.2142358637238
17.0652562996447,64.2002582101021,-23.9082285510665
17.2102786127172,59.680314755013,-22.2820148804746
16.45741736946,58.720006124467,-22.9104437424192
15.8689829811282,55.4038117875054,-22.6055914440718
16.6968589570056,55.0562648879688,-21.2488591954039
17.3272708293656,53.6963643389301,-18.8630073360107
13.2588415658336,48.7506445801953,-19.1788487318349
12.8330133651386,50.4415878588886,-14.6042917108075
12.7875427957065,45.7568194193052,-13.3366087121749
17.2247969118826,44.2799560131209,-12.8556169156957
17.8497563874625,43.834497305819,-13.2866694846354
16.9878775765213,40.3396276082256,-15.8505116963297
13.8722914529401,40.3688157290628,-14.7339453130731
15.8339658450762,33.68976363058,-12.9909183584048
14.9411842872073,34.8630791412224,-10.1455138245927
18.2600612572544,30.0356319410072,-12.2665920006923
17.8451807362223,28.0653028703157,-5.89258466247779
20.573983021273,25.3370970075939,-8.71987149369594
16.8786697622477,25.0408896267104,-4.16407878523124
20.2719835952648,22.0667102881731,-8.93262659334363
17.0284564657748,21.9919077165857,-9.55877691591613
15.6386435532928,21.6976108458904,-9.01725598897879
18.2154713683867,19.6560977227881,-8.42021476079165
17.43919838562,16.0530195711141,-7.30569738320868
19.0968304752162,16.4308012981282,-6.60301105543189
18.4895117293627,15.7638769574387,-5.76022907340027
17.5328634937893,13.7536447729219,-4.1407107088395
17.0561287853836,13.6043708095482,-0.800710680535357
15.1461967581463,7.90724213212094,-1.93606867312813
12.342121843444,2.93920130577233,-1.49885322170979
7.68184826987971,-0.452993655514319,-0.885546091655446
11.4546034220824,1.2212889581394,1.06904665500315
8.29753742959171,-2.04256189668405,-0.662112560395233
6.85087764214533,-3.90821480055617,5.51244622830537
3.35357149644326,-6.1433811214892,4.087859625704
5.42080507352205,-13.4345803801574,9.29338018261223
1.10026324171789,-15.5080041765043,7.82442480387101
0.660073948230409,-17.577272604907,6.2774651513716
-0.0169525495293978,-25.5866734571427,7.32621665221185
2.42799219863117,-24.8689135460717,8.36621627152551
-2.9483578626127,-26.6987878327274,11.9350326066243
1.4548004015787,-25.3617106856322,11.7540851653885
-5.27330081861814,-32.6459854133051,9.44844099817534
-5.37493888749446,-32.6312489580813,13.6471706287822
-5.74796367998815,-37.9671657332811,14.2419893644211
-4.9185980864525,-45.9422361611336,10.9117397010761
-8.76261226298181,-48.9840208389938,14.2698538969018
-7.25654414891683,-48.9022015899798,14.1700572442736
-5.56869621208403,-49.3112323892362,10.2881106972041
-5.96598580239672,-50.9415256635567,10.8529841467567
-6.42607806807967,-56.688065930989,10.1567461561344
-11.7491543812885,-58.5549987506068,8.68468292774942
-9.87682601175139,-63.0154992639444,8.22173464628866
-13.5458358518835,-64.7696119075815,12.5578248860167
-11.2727327257908,-64.9560283335232,12.8504566570681
-10.4393109030509,-66.2546048925731,10.3476819976312
-13.9988877330799,-70.1943286667973,7.54110655962057
-17.4127208491578,-73.0825822513546,12.6595211617119
-15.8540580367551,-75.645355635862,13.1575243243416
-19.0705441314391,-76.5209289623474,7.63060413868371
-20.5438369933172,-78.0525791279818,9.86563502939773
-20.1550951769224,-81.0346332872809,11.1404562161734
-16.2831386632092,-84.5759235554491,8.12303784937181
-18.2803153395555,-86.3517683672447,12.4050725641466
-20.1515364395205,-88.5569347667276,12.5074260800948
-18.750647904456,-89.9816194054733,11.5164360209436
-20.8108073957257,-89.4271579659479,6.33732563735279
-17.0016270058255,-92.4125039080446,10.8657011002463
-21.6891405042425,-94.0529440693351,5.66173717056469
-23.3838356696947,-96.8482762345876,7.88005776302294
-21.191044972569,-102.749379573385,4.51990572846367
15.4720614582308,70.9978207689987,-23.9564284934652
16.9490379655711,69.4010671559807,-26.4505900310685
16.6459947603529,70.2177270267459,-25.1079961865825
14.3913480521493,66.8353435315011,-21.8006822170444
17.5969555437503,59.0025471326285,-23.054836027407
13.3666533919785,60.6610199403248,-18.839716151937
15.7065819395015,60.2314399795257,-19.2059149292079
14.104036658288,56.7846592384915,-23.3142098328096
16.5943257240678,56.3286800703876,-20.1706077865622
10.9030664256552,55.6515691815587,-18.4736526496701
14.0713947435794,52.9051691507365,-21.3355375688468
17.5578856767376,50.9808076040908,-18.6495918925646
