"x","y","z"
162.234372933526,-148.342787691512,-400.17981530822
244.792343285634,-81.2294230811043,-327.469021366029
438.214336960354,417.749784164428,-716.8633276072
609.28990540779,320.313056074423,-463.175354882651
571.137468908544,237.270037290011,-651.424110715261
544.556810349665,581.989590371371,-824.048305108815
753.106468655738,375.00689781794,-634.173139010406
774.586309251797,432.529703003002,-634.544349305157
804.544380441972,494.154934368718,-883.001504157473
657.307749024724,359.248744218823,-730.94134163697
666.353789473029,258.341721476349,-913.873289013541
683.710227800855,365.749876095412,-878.422097288701
670.457987340864,264.266884961413,-870.043217258442
591.558778782637,250.306486942438,-764.180992602566
654.166450006426,322.851216042439,-891.255211298018
635.509893199055,435.507686101293,-828.344187429077
739.979630929925,292.750500430382,-518.056698420736
793.675722372577,408.046266814924,-898.459234504541
676.645170027181,434.31338269681,-797.277753461281
589.117520637829,576.08318093726,-695.954665504592
543.846973694364,382.803312956997,-853.694108684264
468.947617539531,424.071691078941,-756.803747752923
816.607794882124,394.090039894834,-510.473178928492
569.871230612448,447.330961422194,-888.568486082431
480.049662025123,464.903838836931,-749.698680643056
808.950578633307,499.618357870016,-998.254909815825
574.002013126812,339.458361037666,-777.723195788202
536.338295768485,283.455029736961,-836.312221590505
642.76912019064,643.939127598598,-660.658561443189
641.413923731805,537.500835749473,-918.164442617782
659.83086504449,383.172822986254,-901.1697122761
555.571842987962,220.690881180335,-625.743807315245
857.563279318961,261.85706721352,-689.124598955011
633.178590421344,606.692305971178,-957.806924602799
843.281878833907,405.156697827707,-631.609668502138
427.46070470482,266.710228243854,-785.340911756649
566.853640850225,365.003959894318,-731.995574783002
727.263541341571,474.514442225549,-676.139706776911
455.870531989808,489.264002079393,-754.351507557139
666.626790502266,601.490066152674,-876.655237035899
481.919791457551,285.198992878916,-671.310642763801
848.541282876249,601.805232448613,-670.268669264813
785.692304112237,491.063410669991,-859.603719612664
484.569470728011,407.655181465208,-692.009868557729
580.104241786927,295.574500744565,-781.989761702997
397.299557005015,374.473881965966,-656.522149884361
647.919943149644,424.931664311387,-936.271581396997
805.006760328032,419.19736333219,-607.583657440499
689.669990238545,638.895826377583,-732.918635357148
584.572007306366,618.460156909008,-823.016884500861
588.851862050679,650.869588551381,-728.102335637873
833.346938680997,581.601796043336,-643.358166741455
867.786787236318,385.398870671418,-787.577626085696
539.64088275516,513.726246367607,-759.354929210187
529.75073188205,604.171719014673,-887.587247671524
548.841512720443,251.153388633929,-680.090867295979
494.151958694862,562.9257717817,-553.631687065405
537.07041649903,431.944584688607,-749.871161294946
736.725760994845,350.623184761994,-528.015336152433
579.685882960776,513.47795267861,-641.514722305964
539.032075884556,437.433552114523,-557.430625688437
659.633324090863,461.7007630464,-518.094111586683
705.264373843697,458.153564297295,-820.48734349007
652.796234944179,382.292682107065,-648.616469507882
553.039928006271,453.488530084011,-498.208254837461
782.288251410635,203.100670141874,-654.924520937331
648.327296327449,389.773665453778,-638.832218098093
607.801066224106,469.622156838121,-704.760143755218
430.549194899684,341.030813112113,-908.768721091593
621.172271228318,462.563919917479,-834.040154968245
599.751078567615,325.573190080736,-499.094519985557
726.359084862625,327.907995011952,-492.826880444453
653.962645617917,574.657388705722,-918.599873785335
878.862295153098,381.799207819854,-781.238606385524
445.62467274649,260.219359940129,-599.154458452989
658.681383291546,280.03128262784,-529.593972500714
697.386609761982,348.106779074342,-858.132352629365
500.225708980914,394.472751888444,-708.251706005731
694.668210420925,243.562764652578,-750.227165073936
604.354973994772,496.387500629268,-973.804257090189
643.116305248111,426.078797079419,-659.769513951877
668.699674251746,301.708281085743,-633.666847734918
527.07948923993,318.826792671372,-836.198319266161
718.642465281848,484.779980499854,-776.52026967492
727.749652699208,468.132662822837,-595.876415578898
707.941153866949,302.24637404673,-728.242530048304
660.053928100998,447.773742212146,-470.732611644141
741.69115914742,398.998889880769,-705.809157147044
561.293943789999,435.29399380919,-760.454015805315
745.774271617697,471.043348324772,-855.61920872108
497.847913518702,671.026873262653,-843.075241974442
550.000578346122,221.454401242562,-631.220457858447
564.987795498739,492.732363936803,-512.934033439152
843.994333203694,455.432488641477,-750.34652610226
690.40619703139,377.264792400936,-594.117601395102
419.417779473437,506.469046414097,-585.992874542829
378.882635960825,502.600315500824,-720.921564231208
763.976442732025,245.089945019487,-631.71902554742
492.590217748261,501.45876882639,-664.703113220007
722.485722730441,444.559688496429,-750.083863863998
785.183412307341,265.943234371402,-657.015183130065
466.815869233854,563.944123606995,-772.800499517955
792.595380823785,422.981659205859,-576.287792737138
676.437803730742,548.036240917743,-611.001980547256
656.111010824072,602.665505840631,-610.414146621578
784.114358452547,521.16724551301,-748.66270409219
367.229492757009,474.807404282649,-845.860523148081
580.306898308863,505.098400231865,-832.578389065665
593.646197161668,598.058720817543,-596.940926787144
611.507868919213,498.967705013991,-528.274224069176
653.777319683089,608.295433916197,-814.099752167714
716.616849527755,480.743330278326,-750.575328651905
746.981781459316,660.971414557845,-742.247097590103
442.006543137818,364.026119661773,-611.012419613527
471.701465216569,367.096440889298,-767.925218028756
729.091463831698,372.72871168956,-739.237686095014
553.589170864459,599.672280678581,-757.156007961902
707.811757467608,306.60155747317,-796.842499294757
449.492196206929,442.405002614806,-999.399709481392
738.772979966206,315.659948501719,-613.702908790813
645.433018613788,374.47320750979,-816.009705619831
618.864295640319,303.982636378055,-883.121414535302
755.329397636296,419.034105421439,-681.785894483062
599.193551135145,213.357332707242,-632.056800195007
593.799443547651,287.38694819594,-842.227279328341
745.82189325585,484.072938989463,-526.105018409428
455.460720584925,247.328480314617,-638.064202462787
529.558068776498,293.391284659304,-696.737418570858
639.512087590738,712.465933770026,-670.014977098386
583.246739516424,639.54892124891,-788.615475667533
754.791445339339,404.958851246543,-892.421169372635
461.796426903978,399.101950786297,-767.391709593845
401.494233463535,453.38524413233,-755.232599154915
580.363000452165,348.88343491655,-811.907105580348
720.592191761682,429.32540738955,-617.709239512769
762.144913681471,415.706211859699,-730.295606350336
644.517396239931,296.948646125747,-627.445696423214
422.974061316259,556.403112787187,-755.774621281171
651.604733227276,253.585240776787,-842.131510551009
571.699113472465,410.547711777495,-734.105590850425
573.28474707628,391.916274837812,-680.012743828214
666.166989530878,439.071273749755,-664.575265708714
565.888706534697,220.195290031665,-850.592437865678
624.901961504586,554.802241161418,-694.938163754726
642.813675432757,242.826657091433,-716.76912385759
854.151592541003,473.868180038034,-877.024253771356
736.80521275275,433.942778761508,-647.086701379706
442.618345975814,488.979593569131,-666.940736923819
638.27218898449,432.788005199879,-633.536155109202
836.000155969605,595.869872013441,-634.926232525105
422.322594104878,238.283294455603,-663.784831961238
582.425651119118,685.724610869163,-660.125196954379
597.034917872045,316.598239841464,-772.470140020453
542.004614544606,454.410107441073,-814.907184468265
653.729834226339,597.478171133846,-790.184430934549
691.949190347045,604.439406252963,-570.569461600752
525.99312104738,349.113641587602,-1015.11973079547
677.028867013782,591.96838058625,-748.492710215812
775.897087696049,310.027519018679,-650.471261927353
596.40155622916,342.509859425082,-641.176380152463
654.344190711767,429.017959231036,-973.128427660473
385.140838544378,426.232143880525,-629.933906836214
787.151771835497,453.987073387916,-914.37985424145
717.042024726491,371.515186955177,-898.591033367537
543.037439299793,452.241656307334,-799.613590214899
553.666274437635,257.460083946646,-770.189390381307
482.469176899637,335.067100289997,-553.197402672417
636.608115704418,574.40006446282,-534.082529527038
574.349585637189,460.616422086224,-601.805879232666
501.247234779016,327.822656245789,-737.39218624309
938.809053235085,377.803736220555,-911.645250226034
523.912853387695,473.225861842449,-510.686673901377
721.217949218583,476.454793876134,-885.290450275583
579.133453186674,417.556260417842,-531.274505371018
662.184319893455,208.519366253983,-621.522565219093
573.819103633925,178.050107724925,-703.31917546351
674.246499409206,487.846554565817,-892.608984954662
671.199037944165,352.684220974735,-812.546437525788
689.027610824478,365.058936392117,-716.688901257052
813.189499416032,379.0316124097,-848.726161267974
723.767039103258,224.760449363387,-529.28499776659
728.184586823558,536.359622140365,-735.645886915552
592.708848422225,529.192514728089,-772.38566704577
